Order_number,Product_key,Customer_key,Order_date,Ship_date,Due_date,Quantity,Price,Sales
SO51178,206,246,2012-12-28,2013-01-04,2013-01-09,1,10,10
SO51191,206,1391,2012-12-29,2013-01-05,2013-01-10,1,10,10
SO51197,206,449,2012-12-29,2013-01-05,2013-01-10,1,10,10
SO51198,206,7,2012-12-29,2013-01-05,2013-01-10,1,10,10
SO51205,206,241,2012-12-30,2013-01-06,2013-01-11,1,10,10
SO51206,206,401,2012-12-30,2013-01-06,2013-01-11,1,10,10
SO51207,206,339,2012-12-30,2013-01-06,2013-01-11,1,10,10
SO51216,206,118,2012-12-30,2013-01-06,2013-01-11,1,10,10
SO51228,206,403,2012-12-31,2013-01-07,2013-01-12,1,10,10
SO51230,206,293,2012-12-31,2013-01-07,2013-01-12,1,10,10
SO51237,206,62,2012-12-31,2013-01-07,2013-01-12,1,10,10
SO51247,206,250,2013-01-01,2013-01-08,2013-01-13,1,10,10
SO51249,206,335,2013-01-01,2013-01-08,2013-01-13,1,10,10
SO51262,206,341,2013-01-02,2013-01-09,2013-01-14,1,10,10
SO51267,206,457,2013-01-02,2013-01-09,2013-01-14,1,10,10
SO51282,206,9,2013-01-03,2013-01-10,2013-01-15,1,10,10
SO51285,206,1398,2013-01-04,2013-01-11,2013-01-16,1,10,10
SO51290,206,446,2013-01-04,2013-01-11,2013-01-16,1,10,10
SO51291,206,448,2013-01-04,2013-01-11,2013-01-16,1,10,10
SO51303,206,2775,2013-01-05,2013-01-12,2013-01-17,1,10,10
SO51307,206,337,2013-01-05,2013-01-12,2013-01-17,1,10,10
SO51308,206,7959,2013-01-05,2013-01-12,2013-01-17,1,10,10
SO51309,206,4554,2013-01-05,2013-01-12,2013-01-17,1,10,10
SO51315,206,4,2013-01-05,2013-01-12,2013-01-17,1,10,10
SO51339,206,1463,2013-01-07,2013-01-14,2013-01-19,1,10,10
SO51345,206,268,2013-01-07,2013-01-14,2013-01-19,1,10,10
SO51360,206,389,2013-01-08,2013-01-15,2013-01-20,1,10,10
SO51363,206,4558,2013-01-08,2013-01-15,2013-01-20,1,10,10
SO51384,206,104,2013-01-09,2013-01-16,2013-01-21,1,10,10
SO51387,206,943,2013-01-09,2013-01-16,2013-01-21,1,10,10
SO51411,206,240,2013-01-11,2013-01-18,2013-01-23,1,10,10
SO51413,206,4550,2013-01-11,2013-01-18,2013-01-23,1,10,10
SO51417,206,282,2013-01-11,2013-01-18,2013-01-23,1,10,10
SO51431,206,64,2013-01-12,2013-01-19,2013-01-24,1,10,10
SO51487,206,4556,2013-01-16,2013-01-23,2013-01-28,1,10,10
SO51490,206,172,2013-01-16,2013-01-23,2013-01-28,1,10,10
SO51493,206,2,2013-01-16,2013-01-23,2013-01-28,1,10,10
SO51502,206,8476,2013-01-17,2013-01-24,2013-01-29,1,10,10
SO51512,206,404,2013-01-18,2013-01-25,2013-01-30,1,10,10
SO51531,206,338,2013-01-19,2013-01-26,2013-01-31,1,10,10
SO51551,206,2059,2013-01-20,2013-01-27,2013-02-01,1,10,10
SO51554,206,267,2013-01-20,2013-01-27,2013-02-01,1,10,10
SO51555,206,38,2013-01-20,2013-01-27,2013-02-01,1,10,10
SO51604,206,247,2013-01-23,2013-01-30,2013-02-04,1,10,10
SO51626,206,4555,2013-01-24,2013-01-31,2013-02-05,1,10,10
SO51645,206,4553,2013-01-25,2013-02-01,2013-02-06,1,10,10
SO51646,206,65,2013-01-25,2013-02-01,2013-02-06,1,10,10
SO51648,206,146,2013-01-25,2013-02-01,2013-02-06,1,10,10
SO51649,206,125,2013-01-25,2013-02-01,2013-02-06,1,10,10
SO51660,206,1462,2013-01-26,2013-02-02,2013-02-07,1,10,10
SO51675,206,4549,2013-01-27,2013-02-03,2013-02-08,1,10,10
SO51683,206,96,2013-01-27,2013-02-03,2013-02-08,1,10,10
SO51684,206,452,2013-01-27,2013-02-03,2013-02-08,1,10,10
SO51897,206,2200,2013-01-28,2013-02-04,2013-02-09,1,10,10
SO51898,206,4508,2013-01-28,2013-02-04,2013-02-09,1,10,10
SO51913,206,3330,2013-01-28,2013-02-04,2013-02-09,1,10,10
SO51928,206,18308,2013-01-29,2013-02-05,2013-02-10,1,10,10
SO51940,206,3292,2013-01-29,2013-02-05,2013-02-10,1,10,10
SO51941,206,9538,2013-01-29,2013-02-05,2013-02-10,1,10,10
SO51942,206,224,2013-01-29,2013-02-05,2013-02-10,10,10,100
SO51943,206,1078,2013-01-29,2013-02-05,2013-02-10,1,10,10
SO51966,206,2541,2013-01-30,2013-02-06,2013-02-11,1,10,10
SO51967,206,1808,2013-01-30,2013-02-06,2013-02-11,1,10,10
SO51971,206,5610,2013-01-30,2013-02-06,2013-02-11,1,10,10
SO51987,206,5098,2013-01-30,2013-02-06,2013-02-11,1,10,10
SO51988,206,2492,2013-01-30,2013-02-06,2013-02-11,1,10,10
SO51989,206,10919,2013-01-30,2013-02-06,2013-02-11,1,10,10
SO51990,206,1166,2013-01-30,2013-02-06,2013-02-11,1,10,10
SO52002,206,633,2013-01-30,2013-02-06,2013-02-11,1,10,10
SO52024,206,8088,2013-01-31,2013-02-07,2013-02-12,1,10,10
SO52025,206,7294,2013-01-31,2013-02-07,2013-02-12,1,10,10
SO52029,206,13495,2013-01-31,2013-02-07,2013-02-12,1,10,10
SO52033,206,5428,2013-01-31,2013-02-07,2013-02-12,1,10,10
SO52039,206,10763,2013-01-31,2013-02-07,2013-02-12,1,10,10
SO52055,206,2235,2013-01-31,2013-02-07,2013-02-12,1,10,10
SO52058,206,326,2013-01-31,2013-02-07,2013-02-12,1,10,10
SO52072,206,114,2013-02-01,2013-02-08,2013-02-13,1,10,10
SO52084,206,3447,2013-02-01,2013-02-08,2013-02-13,1,10,10
SO52085,206,3562,2013-02-01,2013-02-08,2013-02-13,1,10,10
SO52086,206,9682,2013-02-01,2013-02-08,2013-02-13,1,10,10
SO52088,206,2861,2013-02-01,2013-02-08,2013-02-13,1,10,10
SO52102,206,1725,2013-02-01,2013-02-08,2013-02-13,1,10,10
SO52105,206,523,2013-02-01,2013-02-08,2013-02-13,1,10,10
SO52108,206,395,2013-02-02,2013-02-09,2013-02-14,1,10,10
SO52112,206,497,2013-02-02,2013-02-09,2013-02-14,1,10,10
SO52130,206,11339,2013-02-02,2013-02-09,2013-02-14,1,10,10
SO52162,206,381,2013-02-03,2013-02-10,2013-02-15,1,10,10
SO52178,206,5871,2013-02-03,2013-02-10,2013-02-15,1,10,10
SO52179,206,12250,2013-02-03,2013-02-10,2013-02-15,1,10,10
SO52206,206,6515,2013-02-03,2013-02-10,2013-02-15,1,10,10
SO52207,206,57,2013-02-03,2013-02-10,2013-02-15,1,10,10
SO52232,206,11039,2013-02-04,2013-02-11,2013-02-16,1,10,10
SO52235,206,12278,2013-02-04,2013-02-11,2013-02-16,1,10,10
SO52237,206,3605,2013-02-04,2013-02-11,2013-02-16,1,10,10
SO52238,206,9697,2013-02-04,2013-02-11,2013-02-16,1,10,10
SO52244,206,11155,2013-02-04,2013-02-11,2013-02-16,1,10,10
SO52248,206,3705,2013-02-04,2013-02-11,2013-02-16,1,10,10
SO52262,206,794,2013-02-04,2013-02-11,2013-02-16,1,10,10
SO52265,206,4559,2013-02-04,2013-02-11,2013-02-16,1,10,10
SO52267,206,530,2013-02-04,2013-02-11,2013-02-16,1,10,10
SO52286,206,147,2013-02-05,2013-02-12,2013-02-17,1,10,10
SO52289,206,11840,2013-02-05,2013-02-12,2013-02-17,1,10,10
SO52301,206,14840,2013-02-05,2013-02-12,2013-02-17,1,10,10
SO52304,206,1203,2013-02-05,2013-02-12,2013-02-17,1,10,10
SO52329,206,481,2013-02-06,2013-02-13,2013-02-18,1,10,10
SO52383,206,5086,2013-02-07,2013-02-14,2013-02-19,1,10,10
SO52388,206,2459,2013-02-07,2013-02-14,2013-02-19,1,10,10
SO52397,206,684,2013-02-07,2013-02-14,2013-02-19,1,10,10
SO52409,206,413,2013-02-08,2013-02-15,2013-02-20,1,10,10
SO52410,206,251,2013-02-08,2013-02-15,2013-02-20,1,10,10
SO52430,206,9392,2013-02-08,2013-02-15,2013-02-20,1,10,10
SO52451,206,2061,2013-02-08,2013-02-15,2013-02-20,1,10,10
SO52458,206,458,2013-02-08,2013-02-15,2013-02-20,1,10,10
SO52469,206,407,2013-02-09,2013-02-16,2013-02-21,1,10,10
SO52477,206,4580,2013-02-09,2013-02-16,2013-02-21,1,10,10
SO52492,206,11053,2013-02-09,2013-02-16,2013-02-21,1,10,10
SO52502,206,2849,2013-02-09,2013-02-16,2013-02-21,1,10,10
SO52509,206,6602,2013-02-09,2013-02-16,2013-02-21,1,10,10
SO52513,206,619,2013-02-09,2013-02-16,2013-02-21,1,10,10
SO52516,206,947,2013-02-09,2013-02-16,2013-02-21,1,10,10
SO52523,206,1124,2013-02-10,2013-02-17,2013-02-22,1,10,10
SO52534,206,9862,2013-02-10,2013-02-17,2013-02-22,1,10,10
SO52539,206,11056,2013-02-10,2013-02-17,2013-02-22,1,10,10
SO52540,206,3583,2013-02-10,2013-02-17,2013-02-22,1,10,10
SO52550,206,2597,2013-02-10,2013-02-17,2013-02-22,1,10,10
SO52566,206,228,2013-02-10,2013-02-17,2013-02-22,1,10,10
SO52581,206,8571,2013-02-11,2013-02-18,2013-02-23,1,10,10
SO52582,206,11925,2013-02-11,2013-02-18,2013-02-23,1,10,10
SO52590,206,10443,2013-02-11,2013-02-18,2013-02-23,1,10,10
SO52595,206,7927,2013-02-11,2013-02-18,2013-02-23,1,10,10
SO52615,206,433,2013-02-12,2013-02-19,2013-02-24,1,10,10
SO52616,206,486,2013-02-12,2013-02-19,2013-02-24,1,10,10
SO52631,206,10716,2013-02-12,2013-02-19,2013-02-24,1,10,10
SO52632,206,10575,2013-02-12,2013-02-19,2013-02-24,1,10,10
SO52633,206,4560,2013-02-12,2013-02-19,2013-02-24,1,10,10
SO52634,206,331,2013-02-12,2013-02-19,2013-02-24,1,10,10
SO52638,206,7056,2013-02-12,2013-02-19,2013-02-24,1,10,10
SO52653,206,3340,2013-02-12,2013-02-19,2013-02-24,1,10,10
SO52655,206,1717,2013-02-12,2013-02-19,2013-02-24,1,10,10
SO52692,206,10631,2013-02-13,2013-02-20,2013-02-25,1,10,10
SO52731,206,379,2013-02-14,2013-02-21,2013-02-26,1,10,10
SO52741,206,1055,2013-02-14,2013-02-21,2013-02-26,1,10,10
SO52747,206,7645,2013-02-14,2013-02-21,2013-02-26,1,10,10
SO52796,206,10460,2013-02-15,2013-02-22,2013-02-27,1,10,10
SO52809,206,2486,2013-02-15,2013-02-22,2013-02-27,1,10,10
SO52826,206,648,2013-02-15,2013-02-22,2013-02-27,1,10,10
SO52862,206,9780,2013-02-16,2013-02-23,2013-02-28,1,10,10
SO52898,206,11346,2013-02-17,2013-02-24,2013-03-01,1,10,10
SO52899,206,12253,2013-02-17,2013-02-24,2013-03-01,1,10,10
SO52900,206,2319,2013-02-17,2013-02-24,2013-03-01,1,10,10
SO52901,206,2207,2013-02-17,2013-02-24,2013-03-01,1,10,10
SO52936,206,10501,2013-02-18,2013-02-25,2013-03-02,1,10,10
